year,type,area,season,sector,fuel,quantity,price,elasticity
2012,Nodal,AK,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,AK,Y,IND,LI_SW_CRUDE,1.0,,
2012,Nodal,CA,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,CA,Y,IND,LI_SW_CRUDE,1.0,,
2012,Nodal,CO,Y,IND,LI_SW_CRUDE,1.0,,
2012,Nodal,CO,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,DE,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,DE,Y,IND,LI_SW_CRUDE,1.0,,
2012,Nodal,EC,Y,IND,LI_SW_CRUDE,1.0,,
2012,Nodal,EC,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,IL,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,IL,Y,IND,LI_SW_CRUDE,1.0,,
2012,Nodal,IN,Y,IND,LI_SW_CRUDE,1.0,,
2012,Nodal,IN,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,KS,Y,IND,LI_SW_CRUDE,1.0,,
2012,Nodal,KS,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,KY,Y,IND,LI_SW_CRUDE,1.0,,
2012,Nodal,KY,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,LA,Y,IND,LI_SW_CRUDE,1.0,,
2012,Nodal,LA,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,MN,Y,IND,LI_SW_CRUDE,1.0,,
2012,Nodal,MN,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,MS,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,MS,Y,IND,LI_SW_CRUDE,1.0,,
2012,Nodal,MT,Y,IND,LI_SW_CRUDE,1.0,,
2012,Nodal,MT,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,MX,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,MX,Y,IND,LI_SW_CRUDE,1.0,,
2012,Nodal,ND,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,ND,Y,IND,LI_SW_CRUDE,1.0,,
2012,Nodal,NJ,Y,IND,HE_SO_CRUDE,1.0,,
2012,Nodal,NJ,Y,IND,LI_SW_CRUDE,1.0,,
